Question,Answer
K čemu slouží Post Office Protocol?,"Pro přístup uživatelů k poštovní schránce, nahrazován IMAP, plaintext použit Obsoleted 2018"
"Na jakém portu Poct Office Protocol funguje, RFC, a verze?","Port 110, verze 3, RFC 1939"
Nevýhody Post Office Protocol?,"Heslo v plaintextu, dopisy se z serveru stahují celé, nelze pracovat se strukturou dokument?"
Rozšíření Post Office Protocol?,"APOP pro šifrovanou autentikaci, TOP pro stažení začátku dopisu"
Port IMAPu?,"143, 993 šifrované"
Výhody IMAP oproti POP?,"šifrovatelný, server uchovává stavy dopisů, více schránek, vydání jen části dopisu, vyhledávání v dopisech na serveru, paralelní příkazy"
Co umožňuje IMAP posílat více příkazů naráz?,"Každý příkaz má identifikátor, takže server dokáže snadno rozlišit jakou odpověď poslat na jaký dotaz."
Jak fungovaly v Gopheru obrázky?,"Uměl poskytnout pouze textové informace, uživatel si musel otevřít obrázek v jiném programu, byť ho Gopher stáhnul."
Kde se zrodil World Wide Web?,"V CERNu roku 1989, myšlenka hypertextu a hypermediálního textu byla už ale dřív"
Verze HTTP 1.1?,"Textový, server odpovídá kódem odpovědi, hlavičkami s MIME typem zaslaného dokumentu a dokumentem"
HTTP port?,80
Chybové kódy v HTTP,"1xx míč na serveru, 2xx definitivni, 3xx míč u klienta, 4xx chyba u klienta, 5xx chyba u serveru"
Metody HTTP,"GET, HEAD, POST, PUT, DELETE, CONNECT"
Které HTTP metody jsou bezpečné?,"GET, HEAD"
Která jediná HTTP metoda není idempotentní?,POST
Obecn? k HTTP v2?,"Binární, větší propustnost, lze na něj přecházet v rámci HTTP/1, efektivní komprimace hlaviček, více streamů v rámci jednoho TCP, pushování dat klientovi"
K čemu se dá dnes používat telnet?,"Navázání spojení na server pracující v jiném protokolu, na odděleném segmentu lokální sítě"
Co nahrazuje telnet?,SSH
Port pro SSH?,22
Klienti pro SSH na windows? :(,"putty, winscp"
Co umožňuje navíc SSH v2?,"Tunelování, SSHFS, paralelní kanály"
K čemu slouží Voice over IP?,Obecně nástroje na přenos (nejen) hlasu pomocí TCP/IP. Nejde o jeden konkrétní protokol.
Co označuje H.323?,"řadu samostatných protokolů pro Voice over IP, binární, nečitelné a velmi obtíně implementovatelné"
Co nahrazuje v H.323 fázi přípravy hovoru?,SIP
Co v H.323 zodpovídá za posílání audia a videa?,RTP protokol
Co v H.323 řídí činnost protokoluv RTP?,Protokol RTCP
Co označuje ASN1?,Abstract Syntact Notation 1 (notně abstraktní zkratka)
Co je výhody ASN1?,"Je extrémně kompaktní, tím že pracuje s daty po bitech. Ale je to složité na implementaci."
Jaký port využívá SIP?,5060
Kterému protokolu se architekturou podobá SIP?,HTTP
Jak řeší SIP vlastní přenos dat?,"Neřeší, používá RTP/RTCP"
"Co to znamená, když je metoda idempotentní?",Opakované užití má stejný efekt
